scientific_name,common_name,conservation_status,habitat,threats,information,image
BisonBonasus,European Bison,Vulnerable,Forests and grasslands,Human encroachment; Poaching; Disease,The European Bison is the heaviest surviving wild land animal in Europe. A typical European bison is about 2.1 to 3.5 meters long and 1.6 to 1.95 meters tall.,https://upload.wikimedia.org/wikipedia/commons/f/ff/Aquila_clanga_from_Tal_Chapar_Wildlife_Sanctuary.jpg
Canislupus,Grey Wolf,Least Concern,Forests; Mountains; Tundra; Grasslands,Human encroachment; Poaching; Loss of prey,Grey Wolves are known for their intelligence and complex social structures. They usually travel and live in packs led by an alpha male and female.,https://upload.wikimedia.org/wikipedia/commons/f/ff/Aquila_clanga_from_Tal_Chapar_Wildlife_Sanctuary.jpg
Xanislupus,Grey Wolf,Least Concern,Forests; Mountains; Tundra; Grasslands,Human encroachment; Poaching; Loss of prey,Grey Wolves are known for their intelligence and complex social structures. They usually travel and live in packs led by an alpha male and female.,https://upload.wikimedia.org/wikipedia/commons/f/ff/Aquila_clanga_from_Tal_Chapar_Wildlife_Sanctuary.jpg
Ganis lupus,Grey Wolf,Least Concern,Forests; Mountains; Tundra; Grasslands,Human encroachment; Poaching; Loss of prey,Grey Wolves are known for their intelligence and complex social structures. They usually travel and live in packs led by an alpha male and female.,https://upload.wikimedia.org/wikipedia/commons/f/ff/Aquila_clanga_from_Tal_Chapar_Wildlife_Sanctuary.jpg
Banis lupus,Grey Wolf,Least Concern,Forests; Mountains; Tundra; Grasslands,Human encroachment; Poaching; Loss of prey,Grey Wolves are known for their intelligence and complex social structures. They usually travel and live in packs led by an alpha male and female.,https://upload.wikimedia.org/wikipedia/commons/f/ff/Aquila_clanga_from_Tal_Chapar_Wildlife_Sanctuary.jpg
Danis lupus,Grey Wolf,Least Concern,Forests; Mountains; Tundra; Grasslands,Human encroachment; Poaching; Loss of prey,Grey Wolves are known for their intelligence and complex social structures. They usually travel and live in packs led by an alpha male and female.,https://upload.wikimedia.org/wikipedia/commons/f/ff/Aquila_clanga_from_Tal_Chapar_Wildlife_Sanctuary.jpg
Aanis lupus,Grey Wolf,Least Concern,Forests; Mountains; Tundra; Grasslands,Human encroachment; Poaching; Loss of prey,Grey Wolves are known for their intelligence and complex social structures. They usually travel and live in packs led by an alpha male and female.,https://upload.wikimedia.org/wikipedia/commons/f/ff/Aquila_clanga_from_Tal_Chapar_Wildlife_Sanctuary.jpg
Zanis lupus,Grey Wolf,Least Concern,Forests; Mountains; Tundra; Grasslands,Human encroachment; Poaching; Loss of prey,Grey Wolves are known for their intelligence and complex social structures. They usually travel and live in packs led by an alpha male and female.,https://upload.wikimedia.org/wikipedia/commons/f/ff/Aquila_clanga_from_Tal_Chapar_Wildlife_Sanctuary.jpg
Nanis lupus,Grey Wolf,Least Concern,Forests; Mountains; Tundra; Grasslands,Human encroachment; Poaching; Loss of prey,Grey Wolves are known for their intelligence and complex social structures. They usually travel and live in packs led by an alpha male and female.,https://upload.wikimedia.org/wikipedia/commons/f/ff/Aquila_clanga_from_Tal_Chapar_Wildlife_Sanctuary.jpg
Manis lupus,Grey Wolf,Least Concern,Forests; Mountains; Tundra; Grasslands,Human encroachment; Poaching; Loss of prey,Grey Wolves are known for their intelligence and complex social structures. They usually travel and live in packs led by an alpha male and female.,https://upload.wikimedia.org/wikipedia/commons/f/ff/Aquila_clanga_from_Tal_Chapar_Wildlife_Sanctuary.jpg
Lanis lupus,Grey Wolf,Least Concern,Forests; Mountains; Tundra; Grasslands,Human encroachment; Poaching; Loss of prey,Grey Wolves are known for their intelligence and complex social structures. They usually travel and live in packs led by an alpha male and female.,https://upload.wikimedia.org/wikipedia/commons/f/ff/Aquila_clanga_from_Tal_Chapar_Wildlife_Sanctuary.jpg
Panis lupus,Grey Wolf,Least Concern,Forests; Mountains; Tundra; Grasslands,Human encroachment; Poaching; Loss of prey,Grey Wolves are known for their intelligence and complex social structures. They usually travel and live in packs led by an alpha male and female.,https://upload.wikimedia.org/wikipedia/commons/f/ff/Aquila_clanga_from_Tal_Chapar_Wildlife_Sanctuary.jpg
